"時点","地域コード","地域","漁獲量【トン】","注記"
"1975年","36000","徳島県","49753",""
"1976年","36000","徳島県","43967",""
"1977年","36000","徳島県","47687",""
"1978年","36000","徳島県","67454",""
"1979年","36000","徳島県","70666",""
"1980年","36000","徳島県","65614",""
"1981年","36000","徳島県","54936",""
"1982年","36000","徳島県","45135",""
"1983年","36000","徳島県","44032",""
"1984年","36000","徳島県","51429",""
"1985年","36000","徳島県","51476",""
"1986年","36000","徳島県","50992",""
"1987年","36000","徳島県","46997",""
"1988年","36000","徳島県","44323",""
"1989年","36000","徳島県","41853",""
"1990年","36000","徳島県","36364",""
"1991年","36000","徳島県","34580",""
"1992年","36000","徳島県","34382",""
"1993年","36000","徳島県","30400",""
"1994年","36000","徳島県","25527",""
"1995年","36000","徳島県","29696",""
"1996年","36000","徳島県","23627",""
"1997年","36000","徳島県","25691",""
"1998年","36000","徳島県","20870",""
"1999年","36000","徳島県","27224",""
"2000年","36000","徳島県","26092",""
"2001年","36000","徳島県","22222",""
"2002年","36000","徳島県","23635",""
"2003年","36000","徳島県","20433",""
"2004年","36000","徳島県","20769",""
"2005年","36000","徳島県","17679",""
"2006年","36000","徳島県","15026",""
"2007年","36000","徳島県","15166",""
"2008年","36000","徳島県","14760",""
"2009年","36000","徳島県","14288",""
"2010年","36000","徳島県","12632",""
"2011年","36000","徳島県","13803",""
"2012年","36000","徳島県","14683",""
"2013年","36000","徳島県","13368",""
"2014年","36000","徳島県","11723",""
"2015年","36000","徳島県","10644",""
"2016年","36000","徳島県","10472",""
"2017年","36000","徳島県","10701",""
"2018年","36000","徳島県","10025",""
"2019年","36000","徳島県","9707",""
"2020年","36000","徳島県","9401",""
"2021年","36000","徳島県","11009",""
"1975年","37000","香川県","54830",""
"1976年","37000","香川県","71442",""
"1977年","37000","香川県","63687",""
"1978年","37000","香川県","65784",""
"1979年","37000","香川県","70011",""
"1980年","37000","香川県","66739",""
"1981年","37000","香川県","62851",""
"1982年","37000","香川県","53018",""
"1983年","37000","香川県","51719",""
"1984年","37000","香川県","50652",""
"1985年","37000","香川県","58886",""
"1986年","37000","香川県","59053",""
"1987年","37000","香川県","43551",""
"1988年","37000","香川県","50382",""
"1989年","37000","香川県","38532",""
"1990年","37000","香川県","38247",""
"1991年","37000","香川県","41351",""
"1992年","37000","香川県","36639",""
"1993年","37000","香川県","29008",""
"1994年","37000","香川県","25150",""
"1995年","37000","香川県","21101",""
"1996年","37000","香川県","21647",""
"1997年","37000","香川県","22673",""
"1998年","37000","香川県","21165",""
"1999年","37000","香川県","20227",""
"2000年","37000","香川県","23418",""
"2001年","37000","香川県","21813",""
"2002年","37000","香川県","23735",""
"2003年","37000","香川県","26334",""
"2004年","37000","香川県","20214",""
"2005年","37000","香川県","23692",""
"2006年","37000","香川県","22844",""
"2007年","37000","香川県","20635",""
"2008年","37000","香川県","23252",""
"2009年","37000","香川県","24443",""
"2010年","37000","香川県","19559",""
"2011年","37000","香川県","17359",""
"2012年","37000","香川県","18865",""
"2013年","37000","香川県","18810",""
"2014年","37000","香川県","14160",""
"2015年","37000","香川県","17213",""
"2016年","37000","香川県","18221",""
"2017年","37000","香川県","16373",""
"2018年","37000","香川県","18917",""
"2019年","37000","香川県","15855",""
"2020年","37000","香川県","12113",""
"2021年","37000","香川県","10089",""
"1975年","38000","愛媛県","153126",""
"1976年","38000","愛媛県","166356",""
"1977年","38000","愛媛県","163915",""
"1978年","38000","愛媛県","171048",""
"1979年","38000","愛媛県","143461",""
"1980年","38000","愛媛県","166040",""
"1981年","38000","愛媛県","140662",""
"1982年","38000","愛媛県","169265",""
"1983年","38000","愛媛県","180845",""
"1984年","38000","愛媛県","192874",""
"1985年","38000","愛媛県","177462",""
"1986年","38000","愛媛県","164560",""
"1987年","38000","愛媛県","141652",""
"1988年","38000","愛媛県","158634",""
"1989年","38000","愛媛県","138543",""
"1990年","38000","愛媛県","124847",""
"1991年","38000","愛媛県","136361",""
"1992年","38000","愛媛県","113887",""
"1993年","38000","愛媛県","114027",""
"1994年","38000","愛媛県","108211",""
"1995年","38000","愛媛県","103991",""
"1996年","38000","愛媛県","109927",""
"1997年","38000","愛媛県","111632",""
"1998年","38000","愛媛県","107728",""
"1999年","38000","愛媛県","97014",""
"2000年","38000","愛媛県","93259",""
"2001年","38000","愛媛県","90777",""
"2002年","38000","愛媛県","90968",""
"2003年","38000","愛媛県","93959",""
"2004年","38000","愛媛県","90139",""
"2005年","38000","愛媛県","97217",""
"2006年","38000","愛媛県","91990",""
"2007年","38000","愛媛県","97860",""
"2008年","38000","愛媛県","94750",""
"2009年","38000","愛媛県","75192",""
"2010年","38000","愛媛県","75289",""
"2011年","38000","愛媛県","72999",""
"2012年","38000","愛媛県","82730",""
"2013年","38000","愛媛県","77334",""
"2014年","38000","愛媛県","71233",""
"2015年","38000","愛媛県","81880",""
"2016年","38000","愛媛県","82515",""
"2017年","38000","愛媛県","79867",""
"2018年","38000","愛媛県","75651",""
"2019年","38000","愛媛県","74621",""
"2020年","38000","愛媛県","81312",""
"2021年","38000","愛媛県","76741",""
"1975年","39000","高知県","107233",""
"1976年","39000","高知県","115627",""
"1977年","39000","高知県","105134",""
"1978年","39000","高知県","111199",""
"1979年","39000","高知県","109785",""
"1980年","39000","高知県","128775",""
"1981年","39000","高知県","107007",""
"1982年","39000","高知県","133099",""
"1983年","39000","高知県","137217",""
"1984年","39000","高知県","171792",""
"1985年","39000","高知県","132951",""
"1986年","39000","高知県","147286",""
"1987年","39000","高知県","133451",""
"1988年","39000","高知県","134439",""
"1989年","39000","高知県","124657",""
"1990年","39000","高知県","119840",""
"1991年","39000","高知県","134298",""
"1992年","39000","高知県","114259",""
"1993年","39000","高知県","128328",""
"1994年","39000","高知県","106423",""
"1995年","39000","高知県","116383",""
"1996年","39000","高知県","107235",""
"1997年","39000","高知県","121635",""
"1998年","39000","高知県","108226",""
"1999年","39000","高知県","108822",""
"2000年","39000","高知県","110349",""
"2001年","39000","高知県","101788",""
"2002年","39000","高知県","94570",""
"2003年","39000","高知県","100434",""
"2004年","39000","高知県","93958",""
"2005年","39000","高知県","104716",""
"2006年","39000","高知県","90047",""
"2007年","39000","高知県","103525",""
"2008年","39000","高知県","95210",""
"2009年","39000","高知県","82390",""
"2010年","39000","高知県","83657",""
"2011年","39000","高知県","83266",""
"2012年","39000","高知県","84547",""
"2013年","39000","高知県","79751",""
"2014年","39000","高知県","74305",""
"2015年","39000","高知県","79651",""
"2016年","39000","高知県","66251",""
"2017年","39000","高知県","65751",""
"2018年","39000","高知県","73358",""
"2019年","39000","高知県","62914",""
"2020年","39000","高知県","64664",""
"2021年","39000","高知県","63813",""
"1975年","40000","福岡県","362297",""
"1976年","40000","福岡県","407105",""
"1977年","40000","福岡県","410644",""
"1978年","40000","福岡県","348291",""
"1979年","40000","福岡県","296780",""
"1980年","40000","福岡県","330742",""
"1981年","40000","福岡県","339075",""
"1982年","40000","福岡県","295906",""
"1983年","40000","福岡県","323910",""
"1984年","40000","福岡県","322258",""
"1985年","40000","福岡県","296258",""
"1986年","40000","福岡県","290554",""
"1987年","40000","福岡県","328892",""
"1988年","40000","福岡県","346409",""
"1989年","40000","福岡県","322299",""
"1990年","40000","福岡県","239610",""
"1991年","40000","福岡県","193752",""
"1992年","40000","福岡県","196724",""
"1993年","40000","福岡県","165259",""
"1994年","40000","福岡県","67329",""
"1995年","40000","福岡県","63215",""
"1996年","40000","福岡県","71323",""
"1997年","40000","福岡県","55620",""
"1998年","40000","福岡県","60704",""
"1999年","40000","福岡県","47681",""
"2000年","40000","福岡県","40510",""
"2001年","40000","福岡県","39902",""
"2002年","40000","福岡県","46917",""
"2003年","40000","福岡県","47847",""
"2004年","40000","福岡県","48189",""
"2005年","40000","福岡県","43101",""
"2006年","40000","福岡県","44021",""
"2007年","40000","福岡県","51615",""
"2008年","40000","福岡県","43352",""
"2009年","40000","福岡県","44465",""
"2010年","40000","福岡県","47675",""
"2011年","40000","福岡県","52658",""
"2012年","40000","福岡県","47180",""
"2013年","40000","福岡県","44778",""
"2014年","40000","福岡県","27753",""
"2015年","40000","福岡県","35241",""
"2016年","40000","福岡県","26182",""
"2017年","40000","福岡県","25692",""
"2018年","40000","福岡県","29283",""
"2019年","40000","福岡県","18369",""
"2020年","40000","福岡県","16464",""
"2021年","40000","福岡県","23736",""
"1975年","41000","佐賀県","43075",""
"1976年","41000","佐賀県","46234",""
"1977年","41000","佐賀県","40260",""
"1978年","41000","佐賀県","44836",""
"1979年","41000","佐賀県","60856",""
"1980年","41000","佐賀県","55810",""
"1981年","41000","佐賀県","49904",""
"1982年","41000","佐賀県","51495",""
"1983年","41000","佐賀県","47786",""
"1984年","41000","佐賀県","41625",""
"1985年","41000","佐賀県","42601",""
"1986年","41000","佐賀県","41676",""
"1987年","41000","佐賀県","46682",""
"1988年","41000","佐賀県","52185",""
"1989年","41000","佐賀県","59312",""
"1990年","41000","佐賀県","53772",""
"1991年","41000","佐賀県","47274",""
"1992年","41000","佐賀県","39546",""
"1993年","41000","佐賀県","45341",""
"1994年","41000","佐賀県","47352",""
"1995年","41000","佐賀県","35583",""
"1996年","41000","佐賀県","38631",""
"1997年","41000","佐賀県","28184",""
"1998年","41000","佐賀県","24930",""
"1999年","41000","佐賀県","21882",""
"2000年","41000","佐賀県","17892",""
"2001年","41000","佐賀県","15484",""
"2002年","41000","佐賀県","22642",""
"2003年","41000","佐賀県","20751",""
"2004年","41000","佐賀県","16069",""
"2005年","41000","佐賀県","21114",""
"2006年","41000","佐賀県","13282",""
"2007年","41000","佐賀県","18234",""
"2008年","41000","佐賀県","14718",""
"2009年","41000","佐賀県","13977",""
"2010年","41000","佐賀県","18730",""
"2011年","41000","佐賀県","14272",""
"2012年","41000","佐賀県","16889",""
"2013年","41000","佐賀県","17981",""
"2014年","41000","佐賀県","13765",""
"2015年","41000","佐賀県","18010",""
"2016年","41000","佐賀県","10182",""
"2017年","41000","佐賀県","8053",""
"2018年","41000","佐賀県","8410",""
"2019年","41000","佐賀県","9730",""
"2020年","41000","佐賀県","6536",""
"2021年","41000","佐賀県","8143",""
"1975年","42000","長崎県","693201",""
"1976年","42000","長崎県","681769",""
"1977年","42000","長崎県","857415",""
"1978年","42000","長崎県","899666",""
"1979年","42000","長崎県","953263",""
"1980年","42000","長崎県","858477",""
"1981年","42000","長崎県","802673",""
"1982年","42000","長崎県","833030",""
"1983年","42000","長崎県","767338",""
"1984年","42000","長崎県","869300",""
"1985年","42000","長崎県","836670",""
"1986年","42000","長崎県","843767",""
"1987年","42000","長崎県","751773",""
"1988年","42000","長崎県","933372",""
"1989年","42000","長崎県","811269",""
"1990年","42000","長崎県","837229",""
"1991年","42000","長崎県","791989",""
"1992年","42000","長崎県","686280",""
"1993年","42000","長崎県","655055",""
"1994年","42000","長崎県","643736",""
"1995年","42000","長崎県","504840",""
"1996年","42000","長崎県","515612",""
"1997年","42000","長崎県","432231",""
"1998年","42000","長崎県","382646",""
"1999年","42000","長崎県","350536",""
"2000年","42000","長崎県","317686",""
"2001年","42000","長崎県","299968",""
"2002年","42000","長崎県","278477",""
"2003年","42000","長崎県","287028",""
"2004年","42000","長崎県","287202",""
"2005年","42000","長崎県","305424",""
"2006年","42000","長崎県","271867",""
"2007年","42000","長崎県","300059",""
"2008年","42000","長崎県","302844",""
"2009年","42000","長崎県","267851",""
"2010年","42000","長崎県","253117",""
"2011年","42000","長崎県","270052",""
"2012年","42000","長崎県","245565",""
"2013年","42000","長崎県","244050",""
"2014年","42000","長崎県","240390",""
"2015年","42000","長崎県","295998",""
"2016年","42000","長崎県","286490",""
"2017年","42000","長崎県","317069",""
"2018年","42000","長崎県","290591",""
"2019年","42000","長崎県","250771",""
"2020年","42000","長崎県","228051",""
"2021年","42000","長崎県","247359",""
"1975年","43000","熊本県","89270",""
"1976年","43000","熊本県","122476",""
"1977年","43000","熊本県","134317",""
"1978年","43000","熊本県","126335",""
"1979年","43000","熊本県","126822",""
"1980年","43000","熊本県","128024",""
"1981年","43000","熊本県","104210",""
"1982年","43000","熊本県","117466",""
"1983年","43000","熊本県","95701",""
"1984年","43000","熊本県","101342",""
"1985年","43000","熊本県","92169",""
"1986年","43000","熊本県","88709",""
"1987年","43000","熊本県","75036",""
"1988年","43000","熊本県","77363",""
"1989年","43000","熊本県","76309",""
"1990年","43000","熊本県","96815",""
"1991年","43000","熊本県","73049",""
"1992年","43000","熊本県","71623",""
"1993年","43000","熊本県","55588",""
"1994年","43000","熊本県","46347",""
"1995年","43000","熊本県","43875",""
"1996年","43000","熊本県","41470",""
"1997年","43000","熊本県","39484",""
"1998年","43000","熊本県","30477",""
"1999年","43000","熊本県","30013",""
"2000年","43000","熊本県","28195",""
"2001年","43000","熊本県","28195",""
"2002年","43000","熊本県","25664",""
"2003年","43000","熊本県","28147",""
"2004年","43000","熊本県","26705",""
"2005年","43000","熊本県","30463",""
"2006年","43000","熊本県","24906",""
"2007年","43000","熊本県","25459",""
"2008年","43000","熊本県","28177",""
"2009年","43000","熊本県","21060",""
"2010年","43000","熊本県","21497",""
"2011年","43000","熊本県","22648",""
"2012年","43000","熊本県","21840",""
"2013年","43000","熊本県","21864",""
"2014年","43000","熊本県","20290",""
"2015年","43000","熊本県","20410",""
"2016年","43000","熊本県","18425",""
"2017年","43000","熊本県","18204",""
"2018年","43000","熊本県","18111",""
"2019年","43000","熊本県","15594",""
"2020年","43000","熊本県","13115",""
"2021年","43000","熊本県","11869",""
"1975年","44000","大分県","72287",""
"1976年","44000","大分県","87521",""
"1977年","44000","大分県","96092",""
"1978年","44000","大分県","106147",""
"1979年","44000","大分県","112878",""
"1980年","44000","大分県","120335",""
"1981年","44000","大分県","120676",""
"1982年","44000","大分県","131263",""
"1983年","44000","大分県","123192",""
"1984年","44000","大分県","130670",""
"1985年","44000","大分県","153995",""
"1986年","44000","大分県","131936",""
"1987年","44000","大分県","137789",""
"1988年","44000","大分県","130541",""
"1989年","44000","大分県","125971",""
"1990年","44000","大分県","127224",""
"1991年","44000","大分県","98634",""
"1992年","44000","大分県","83774",""
"1993年","44000","大分県","85772",""
"1994年","44000","大分県","76242",""
"1995年","44000","大分県","70652",""
"1996年","44000","大分県","80879",""
"1997年","44000","大分県","73261",""
"1998年","44000","大分県","63629",""
"1999年","44000","大分県","59371",""
"2000年","44000","大分県","62464",""
"2001年","44000","大分県","56531",""
"2002年","44000","大分県","48959",""
"2003年","44000","大分県","48160",""
"2004年","44000","大分県","43301",""
"2005年","44000","大分県","53850",""
"2006年","44000","大分県","48810",""
"2007年","44000","大分県","45465",""
"2008年","44000","大分県","43338",""
"2009年","44000","大分県","38881",""
"2010年","44000","大分県","39246",""
"2011年","44000","大分県","38716",""
"2012年","44000","大分県","40812",""
"2013年","44000","大分県","36333",""
"2014年","44000","大分県","41702",""
"2015年","44000","大分県","35547",""
"2016年","44000","大分県","35385",""
"2017年","44000","大分県","31945",""
"2018年","44000","大分県","31690",""
"2019年","44000","大分県","30941",""
"2020年","44000","大分県","35611",""
"2021年","44000","大分県","29154",""
"1975年","45000","宮崎県","77636",""
"1976年","45000","宮崎県","112505",""
"1977年","45000","宮崎県","103088",""
"1978年","45000","宮崎県","123086",""
"1979年","45000","宮崎県","127894",""
"1980年","45000","宮崎県","122706",""
"1981年","45000","宮崎県","123183",""
"1982年","45000","宮崎県","152127",""
"1983年","45000","宮崎県","166024",""
"1984年","45000","宮崎県","196957",""
"1985年","45000","宮崎県","171990",""
"1986年","45000","宮崎県","174924",""
"1987年","45000","宮崎県","191955",""
"1988年","45000","宮崎県","222599",""
"1989年","45000","宮崎県","212188",""
"1990年","45000","宮崎県","223751",""
"1991年","45000","宮崎県","182321",""
"1992年","45000","宮崎県","168245",""
"1993年","45000","宮崎県","174265",""
"1994年","45000","宮崎県","136318",""
"1995年","45000","宮崎県","126809",""
"1996年","45000","宮崎県","122063",""
"1997年","45000","宮崎県","137049",""
"1998年","45000","宮崎県","109711",""
"1999年","45000","宮崎県","123689",""
"2000年","45000","宮崎県","126777",""
"2001年","45000","宮崎県","90857",""
"2002年","45000","宮崎県","86055",""
"2003年","45000","宮崎県","108192",""
"2004年","45000","宮崎県","101691",""
"2005年","45000","宮崎県","105921",""
"2006年","45000","宮崎県","103066",""
"2007年","45000","宮崎県","107635",""
"2008年","45000","宮崎県","86553",""
"2009年","45000","宮崎県","84808",""
"2010年","45000","宮崎県","92304",""
"2011年","45000","宮崎県","101213",""
"2012年","45000","宮崎県","86597",""
"2013年","45000","宮崎県","104948",""
"2014年","45000","宮崎県","101283",""
"2015年","45000","宮崎県","125920",""
"2016年","45000","宮崎県","101785",""
"2017年","45000","宮崎県","96582",""
"2018年","45000","宮崎県","103314",""
"2019年","45000","宮崎県","100169",""
"2020年","45000","宮崎県","118980",""
"2021年","45000","宮崎県","101064",""
"1975年","46000","鹿児島県","106068",""
"1976年","46000","鹿児島県","133218",""
"1977年","46000","鹿児島県","146982",""
"1978年","46000","鹿児島県","159733",""
"1979年","46000","鹿児島県","148908",""
"1980年","46000","鹿児島県","151164",""
"1981年","46000","鹿児島県","157986",""
"1982年","46000","鹿児島県","179050",""
"1983年","46000","鹿児島県","174300",""
"1984年","46000","鹿児島県","198050",""
"1985年","46000","鹿児島県","182632",""
"1986年","46000","鹿児島県","161449",""
"1987年","46000","鹿児島県","153403",""
"1988年","46000","鹿児島県","158763",""
"1989年","46000","鹿児島県","151497",""
"1990年","46000","鹿児島県","157113",""
"1991年","46000","鹿児島県","152397",""
"1992年","46000","鹿児島県","139278",""
"1993年","46000","鹿児島県","150015",""
"1994年","46000","鹿児島県","138410",""
"1995年","46000","鹿児島県","129947",""
"1996年","46000","鹿児島県","110657",""
"1997年","46000","鹿児島県","125174",""
"1998年","46000","鹿児島県","98065",""
"1999年","46000","鹿児島県","95544",""
"2000年","46000","鹿児島県","93966",""
"2001年","46000","鹿児島県","93746",""
"2002年","46000","鹿児島県","84733",""
"2003年","46000","鹿児島県","90473",""
"2004年","46000","鹿児島県","96831",""
"2005年","46000","鹿児島県","105319",""
"2006年","46000","鹿児島県","94320",""
"2007年","46000","鹿児島県","-","データが得られないことを示している。"
"2008年","46000","鹿児島県","-","データが得られないことを示している。"
"2009年","46000","鹿児島県","-","データが得られないことを示している。"
"2010年","46000","鹿児島県","-","データが得られないことを示している。"
"2011年","46000","鹿児島県","-","データが得られないことを示している。"
"2012年","46000","鹿児島県","-","データが得られないことを示している。"
"2013年","46000","鹿児島県","-","データが得られないことを示している。"
"2014年","46000","鹿児島県","-","データが得られないことを示している。"
"2015年","46000","鹿児島県","-","データが得られないことを示している。"
"2016年","46000","鹿児島県","-","データが得られないことを示している。"
"2017年","46000","鹿児島県","-","データが得られないことを示している。"
"2018年","46000","鹿児島県","-","データが得られないことを示している。"
"2019年","46000","鹿児島県","-","データが得られないことを示している。"
"2020年","46000","鹿児島県","-","データが得られないことを示している。"
"2021年","46000","鹿児島県","47853",""
"1975年","47000","沖縄県","51483",""
"1976年","47000","沖縄県","70410",""
"1977年","47000","沖縄県","60774",""
"1978年","47000","沖縄県","87879",""
"1979年","47000","沖縄県","68535",""
"1980年","47000","沖縄県","58967",""
"1981年","47000","沖縄県","45705",""
"1982年","47000","沖縄県","26852",""
"1983年","47000","沖縄県","30534",""
"1984年","47000","沖縄県","43674",""
"1985年","47000","沖縄県","45827",""
"1986年","47000","沖縄県","43670",""
"1987年","47000","沖縄県","37283",""
"1988年","47000","沖縄県","38018",""
"1989年","47000","沖縄県","37388",""
"1990年","47000","沖縄県","34832",""
"1991年","47000","沖縄県","41940",""
"1992年","47000","沖縄県","34032",""
"1993年","47000","沖縄県","25682",""
"1994年","47000","沖縄県","23573",""
"1995年","47000","沖縄県","23098",""
"1996年","47000","沖縄県","22723",""
"1997年","47000","沖縄県","23125",""
"1998年","47000","沖縄県","22972",""
"1999年","47000","沖縄県","21973",""
"2000年","47000","沖縄県","20928",""
"2001年","47000","沖縄県","20142",""
"2002年","47000","沖縄県","19095",""
"2003年","47000","沖縄県","19414",""
"2004年","47000","沖縄県","18355",""
"2005年","47000","沖縄県","18457",""
"2006年","47000","沖縄県","18650",""
"2007年","47000","沖縄県","16748",""
"2008年","47000","沖縄県","16902",""
"2009年","47000","沖縄県","15314",""
"2010年","47000","沖縄県","14812",""
"2011年","47000","沖縄県","14838",""
"2012年","47000","沖縄県","15295",""
"2013年","47000","沖縄県","15294",""
"2014年","47000","沖縄県","15317",""
"2015年","47000","沖縄県","16684",""
"2016年","47000","沖縄県","16158",""
"2017年","47000","沖縄県","15954",""
"2018年","47000","沖縄県","15555",""
"2019年","47000","沖縄県","15685",""
"2020年","47000","沖縄県","12928",""
"2021年","47000","沖縄県","14936",""
